timestamp,askPrice,bidPrice,askVolume,bidVolume
1517210813384,2873.431,2872.87,0.00157,0.00055
1517210813987,2873.431,2872.87,0.00204,0.00055
1517210815142,2873.431,2872.869,0.00157,0.00055
1517210815193,2873.431,2872.97,0.00157,0.00055
1517210846740,2873.431,2872.87,0.00157,0.00055
1517210846791,2873.431,2872.97,0.00157,0.00055
1517210868704,2873.431,2872.869,0.00157,0.00055
1517210869411,2873.431,2872.87,0.00204,0.00055
1517210869512,2873.431,2872.97,0.00157,0.00055
1517210872855,2873.431,2872.869,0.00204,0.00055
1517210873093,2873.431,2872.969,0.00157,0.00055
1517210890357,2873.431,2872.869,0.00157,0.00055
1517210907948,2873.431,2872.62,0.00204,0.00198
1517210908058,2873.131,2872.619,0.00157,0.00055
1517210908893,2873.131,2872.719,0.00157,0.00055
1517210909006,2873.43,2872.869,0.00157,0.00055
1517210914773,2873.43,2872.87,0.00157,0.00055
1517210914824,2873.43,2872.97,0.00157,0.00055
1517210931007,2873.43,2872.869,0.00157,0.00055
1517210940425,2873.43,2872.969,0.00157,0.00055
1517210941329,2873.43,2872.869,0.00157,0.00055
1517210941439,2873.43,2872.97,0.00157,0.00055
1517210947433,2873.43,2872.869,0.00157,0.00055
1517210947939,2873.43,2872.87,0.00204,0.00055
1517210956841,2873.43,2872.97,0.00157,0.00055
1517210959350,2873.43,2872.869,0.00157,0.00055
1517210969053,2873.43,2872.97,0.00157,0.00055
1517210994323,2873.43,2873.12,0.00157,0.00055
1517210994373,2873.631,2873.12,0.00157,0.00055
1517211079447,2873.631,2873.119,0.00157,0.00055
1517211079498,2873.631,2873.219,0.00157,0.00055
1517211089523,2873.631,2873.119,0.00157,0.00055
1517211097328,2873.631,2873.12,0.00157,0.00055
1517211097378,2873.631,2873.219,0.00157,0.00055
1517211103692,2873.631,2873.119,0.00157,0.00055
1517211107277,2873.631,2873.219,0.00157,0.00055
1517211109348,2873.631,2873.119,0.00157,0.00055
1517211110117,2873.631,2873.12,0.00157,0.00055
1517211121860,2873.631,2872.62,0.00157,0.00198
1517211121910,2873.631,2872.87,0.00204,0.00198
1517211122413,2873.43,2872.969,0.00157,0.00055
1517211138906,2873.43,2872.87,0.00157,0.00055
1517211148884,2873.43,2872.869,0.00157,0.00055
1517211148935,2873.43,2872.97,0.00157,0.00055
1517211149178,2873.43,2872.869,0.00157,0.00055
1517211149919,2873.43,2872.87,0.00204,0.00055
1517211185677,2873.43,2872.969,0.00157,0.00055
1517211196354,2873.43,2872.87,0.00157,0.00055
1517211228402,2873.43,2872.869,0.00157,0.00055
